Individual Overall Offensive Statistics,,,,,,,,,,,,,,,,
#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC,RC,GW,PG,PA
10,"Klein, John",20,20,1635,7,5,19,35,0.2,20,0.571,2,0,2,1,1
13,"Coppola, CJ",20,13,840,6,1,13,21,0.286,13,0.619,1,0,1,0,0
4,"Suarez, Alberto",20,20,1789,6,0,12,23,0.261,11,0.478,4,0,2,2,3
7,"Anderson, Seth",20,20,1587,3,5,11,19,0.158,7,0.368,1,0,1,0,0
11,"Stistrup Petersen, Mads",17,3,508,3,3,9,16,0.188,5,0.313,1,0,2,0,0
6,"Buendia, Christian",20,20,1589,2,3,7,29,0.069,9,0.31,4,0,1,1,1
18,"Warrington, Lane",20,20,1677,0,6,6,5,0,1,0.2,5,0,0,0,0
14,"Easton, Grady",17,14,1358,2,0,4,13,0.154,6,0.462,2,0,1,0,0
5,"Floriani, Max",20,17,1639,0,4,4,9,0,4,0.444,3,0,0,0,0
33,"Komodi, Kevin",16,4,370,1,2,4,5,0.2,3,0.6,1,0,0,1,1
9,"Legut, Erich",16,4,419,2,0,4,8,0.25,3,0.375,0,0,0,0,0
12,"Okpoye, Enzo",14,2,733,2,0,4,11,0.182,5,0.455,3,0,1,0,0
15,"Townsend, Brogan",17,1,888,2,0,4,12,0.167,6,0.5,0,0,0,0,0
25,"Boasso, Matteo",7,0,127,1,0,2,4,0.25,3,0.75,0,0,0,0,0
3,"Iverson, Caleb",2,0,66,0,2,2,0,0,0,0,0,0,0,0,0
19,"Mika, Jack",17,2,443,1,0,2,7,0.143,2,0.286,1,0,0,0,0
8,"Johnson, Brian",19,19,1013,0,1,1,16,0,2,0.125,6,0,0,0,0
16,"Olson, Dylan",12,0,124,0,1,1,3,0,2,0.667,0,0,0,0,0
2,"Ross, Donny",13,6,504,0,1,1,0,0,0,0,0,0,0,0,0
24,"Gibbs, Karson",13,1,302,0,0,0,5,0,1,0.2,2,0,0,0,0
21,"Moore, Daniel",4,1,155,0,0,0,1,0,0,0,0,0,0,0,0
28,"Sade, Yuval",3,3,270,0,0,0,0,0,0,0,0,0,0,0,0
29,"Shapiro, Nate",1,0,45,0,0,0,0,0,0,0,0,0,0,0,0
23,"Shterenberg, Alex",17,13,672,0,0,0,16,0,3,0.188,3,0,0,0,0
11,"Stistrup Petersen, Mads",2,0,37,0,0,0,0,0,0,0,0,0,0,0,0
1,"Tofern, Carlos",17,17,1545,0,0,0,0,0,0,0,0,0,0,0,0
26,"Warhaft, Bryce",2,0,77,0,0,0,1,0,0,0,1,0,0,0,0
TM,Team,2,0,0,2,0,4,0,0,1,0,0,0,1,0,0
,Total,20,-,20412,40,34,114,259,0.154,107,0.413,42,0,12,5,6
,Opponent,20,-,20451,24,20,68,243,0.099,88,0.362,43,0,5,2,2
